Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
20 Microns,110.24,1018.19,17.75,15.34,16.11,14.98,15.09,14.2,17.14,8.95,8.94,8.42,9.23,17.15,10.14,10.27,9.05,35.2,17.97,20.05,48.07,0.95,5,2.88,1.19,8,7.39,5.98,0.43,7.87,44.99,53.99,0,6.12,1.16,0.34,5.87,Y,Y,N,Y,1,0,1,0,0,2
21st Cent. Mgmt.,505.96,116.43,86.98,-70.57,32.13,1.16,0.66,5.45,1.96,1.74,2.01,2.48,2.1,73.96,,22.1,36.1,86.12,49.25,28.7,48.53,0.04,6,2.19,0.8,7,83.36,5.63,2.25,8.16,64.3,35.91,0,11.95,16.28,0,,Y,N,N,Y,1,0,1,0,1,3
360 ONE,93.08,37001.96,24.47,21.41,21.97,17.25,,,37.53,27.1,30.46,30.46,30.46,20.86,13.1,,,28.54,,,,2.27,6,9.45,11.81,3,27.53,31.99,1.63,73.64,15.72,10.23,43.25,4.87,2.86,2.79,2.6,Y,Y,N,N,0,1,0,1,0,2
3B Blackbio,73.62,1178.66,15.42,14.91,17.2,33.43,32.96,31.74,32.73,14.23,12.7,13.16,15.71,-31.11,26.06,24.31,12.95,-37.3,35.53,54.7,51.35,0.75,3,5.28,14.87,5,43.29,41.75,0.22,8.01,41.29,53.48,0,10.35,6.56,0,413.5,Y,Y,Y,Y,0,0,0,0,0,0
3i Infotech,-28.77,441.98,-14.99,0.45,-5.72,-0.71,3.56,,,97,15.22,8.62,8.2,10.17,-6.22,-2.95,-4.63,,,,3.05,,4,1.5,0.55,3,-8.62,0.41,0,0,0,91.4,0,2.86,1.05,0.29,-3.24,N,Y,Y,N,0,0,0,0,0,0
3M India,13.34,38034.73,24.81,18.75,18.07,14.6,15.92,16.55,67.19,76.15,81.42,76.73,75.66,17.5,6.93,7.53,8.47,53.48,10.65,12.1,28.58,6.31,4,16.04,9.64,9,13.64,11.14,0.47,143.96,75,12.8,0,21.27,1.87,0.01,155.79,N,N,Y,Y,0,0,0,0,1,1
5Paisa Capital,11.87,1520.78,10.29,10.44,9.33,8.41,4.85,3.77,25.27,29.9,50.05,50.05,50.05,26.73,45.42,76.24,56.14,34.8,33.5,32.13,24.21,0.69,5,2.64,3.65,4,13.14,12.8,0,0,32.78,45.4,0,2.37,1.43,0.29,3.56,N,Y,Y,Y,1,0,0,0,0,1
63 Moons Tech.,72.96,2091.27,6.49,-1.43,1.32,0.36,0.16,-0.9,12.76,11.37,11.37,19.61,16.15,43.36,12.57,11.67,-1.83,147.67,52.43,37.2,14.83,0.24,3,0.62,5.28,8,44.43,-25.09,0.44,4.14,45.63,51.3,0,2.92,5.67,0,147.54,Y,Y,N,Y,0,0,0,0,0,0
7Seas Enter.,99.87,132.5,20.69,,,,,,135.2,66.67,63.97,63.97,63.97,738.48,125.99,8.34,21.16,-31.52,15.44,-8.44,7.69,8.54,2,10.89,10.47,5,8.14,7.79,0,0,31.32,68.67,0,23.12,12.63,0.04,6.14,Y,Y,Y,Y,0,0,0,0,0,0
A B B,87.64,159390.06,22.92,17.01,17.76,14.06,13.72,12.87,99.04,102.52,102.77,93.06,85.24,21.52,9.32,2.75,3.07,92.69,19.98,19.52,21.4,4.96,5,25.13,13.94,9,11.94,8.92,0.32,49.99,75,7.29,0,24.64,1.6,0.01,124.78,N,Y,Y,Y,0,1,0,1,1,3
A B Infrabuild,201.45,487.5,20.2,19.01,15.59,13.72,15.17,14.14,41.63,9.91,7.89,7.71,7.71,43.77,27.32,14.79,8.37,29.82,-5.19,20.39,-4.07,1.28,4,6.04,2.66,5,6.38,4.92,0,0,36.82,67.26,0,7.93,1.14,0.51,4.07,Y,Y,N,Y,1,0,1,0,0,2
A B Real Estate,140.22,29474.81,1.29,4.82,3.48,3.99,29.95,,188.77,72.63,60.9,52.44,52.44,19.93,2.74,-7.25,,54.05,-61.59,-11.14,,-3.06,5,7.28,5.86,4,1.34,4.78,0.19,110.52,50.21,23.43,0,4.69,0.27,1.17,10.15,Y,Y,N,N,0,0,0,0,1,1
A K Spintex,174.03,173.87,24.32,27.25,20.95,15.95,14.47,13.94,24.8,9.59,9.38,8.72,9.77,34.67,14.28,12.03,11.48,163.86,46.09,22.43,34.69,0.54,4,4.46,1.56,7,7.21,6.29,0,0,70.76,29.24,0,7.08,0.83,0.18,13.48,Y,Y,Y,Y,1,0,1,0,1,3
A-1,-12.09,367.77,2.75,7.63,8.2,8.05,9.33,,208.96,81.95,67.73,63.02,63.02,12.4,7.89,10.01,,-20.83,-20.63,-35.64,,-10.13,4,7.7,1.69,6,0.64,1.09,0.47,156.82,70.03,27.07,0,14.64,3.29,0.22,4.18,Y,Y,Y,N,0,0,0,0,1,1
A.K.Capital Serv,38.15,704.91,9.36,8.78,9.86,9.92,10.59,10.8,7.65,3.82,3.69,3.68,3.85,2.93,-5.73,-0.97,2.62,-5.03,-2.29,1.49,6.07,-3.34,4,0.99,1.36,6,20.31,24.64,1.5,8.77,71.5,26.45,0,1.29,0.95,2.94,1.6,Y,N,N,N,0,0,0,0,1,1
A2Z Infra Engg.,80.98,293.24,-132.12,15.74,-54.06,-33.02,-30.48,-29.84,,,13.27,13.2,13.2,-2.17,-14.87,-12.58,-5.7,12.55,,8.84,6.75,,3,9.11,0.78,5,-15.45,4.55,0,0,28.14,70.22,99.68,1.1,0.72,6.15,-8.33,N,N,Y,N,0,0,0,0,0,0
AAA Technologies,74.09,143.47,12.03,11.88,11.46,13.49,15.05,13.99,42.07,38.92,32.92,32.92,32.92,22.36,14.32,7.59,4.32,41.11,-37.26,6.36,2.93,4.53,3,5.13,5.98,9,15.9,14.89,0.45,19.98,71.51,28.45,0,11.55,19.53,0,,Y,Y,N,Y,0,0,0,0,1,1
Aadhar Hsg. Fin.,,18036.28,18.41,16.48,16.89,15.76,,,24.05,25.26,25.26,25.26,25.26,17.98,15.37,,,30.11,-22.58,,,0.7,5,,6.97,6,28.99,27.61,0,0,75.89,10.33,0,2.37,2.42,3.14,1.97,N,N,N,Y,0,0,0,1,1,2
Aakash Explor.,64.85,110.16,11.19,9.19,11.24,11.6,11.8,,17.27,21.58,21.14,20.45,20.45,15.56,12.29,15.53,,15.08,13.39,22.65,,1.29,4,1.88,1.1,9,6.72,4.97,0,0,66.67,33.33,0,4.33,0.96,0.44,5.37,N,Y,N,Y,1,0,0,0,1,2
Aarey Drugs,39.95,162.95,3.81,3.33,4.41,5.25,6.02,6.15,24.95,22.06,13.74,13.01,18.85,4.32,2.22,-0.01,7.07,-15.59,-9.75,-8.1,10.36,-3.86,3,1.25,0.35,5,1.18,0.9,0,0,45.28,51.81,0,3.67,1.49,0.24,4.39,Y,Y,N,Y,1,0,0,0,0,1
Aarnav Fashions,75.73,223.57,3.19,0.25,2.97,3.62,3.62,3.6,31.22,16.16,28.08,28.44,28.44,13.03,196.05,148.16,,-25.65,17.22,21.83,12.5,0.32,4,1.25,0.61,8,1.56,0.11,0.94,375.8,66.53,33.47,0,3.17,0.75,0.61,1.82,Y,N,Y,Y,1,0,0,0,1,2
Aaron Industries,-9.98,267.7,22.48,29.69,25.57,22.91,22.98,,40.56,42.15,39.72,35.56,35.56,36.32,29.22,44.53,,46.27,41.91,25.25,,0.94,3,7.47,4.13,3,10.01,9.67,0.39,16.54,73.06,26.43,0,8.01,0.43,0.88,7.39,N,Y,N,Y,1,0,0,0,1,2
Aartech Solonics,26.78,193.42,2.05,4.49,2.57,2.23,3.08,3.11,83.37,89.12,70.4,63,63,44.08,17.59,14.42,13.95,6.61,-15.24,7.8,10.15,-5.47,2,6.21,5.86,5,1.93,6.14,0.41,0,52.68,45.91,0,9.72,1.16,0.13,7.16,N,Y,N,N,0,0,0,0,0,0
Aarti Drugs,0.77,4364.15,12.39,14.65,15.78,19.85,19.52,19.97,34.9,26.13,25.51,24.02,20.54,5.79,9.28,11.05,8.84,-17.65,11.43,10.32,9.34,3.21,1,3.76,2.05,7,6.26,6.12,0.21,6.48,55.64,34.01,0,5.76,1.05,0.43,6.72,Y,Y,N,Y,0,0,0,0,1,1
Aarti Industries,7.79,17712.69,8.22,11.55,15.54,16.11,17.15,17.94,36.6,34.51,34.65,31.38,26.59,12.25,8.86,10.53,9.3,-8.3,-3.92,2.72,10.19,-11.92,4,3.35,2.6,6,6.59,8.24,0.2,8.7,42.61,29.58,3.85,4.86,0.51,0.61,3,Y,Y,N,N,1,0,0,0,1,2
Aarti Pharma,50.58,5486.5,13.06,13.14,13.92,,,,24.36,22.93,22.93,22.93,22.93,,,,,,,,,,3,3.12,2.81,4,11.69,9.94,0.5,12.53,46.1,35.17,0,5.92,0.91,0.16,18.35,Y,Y,N,Y,0,0,0,0,1,1
Aarti Surfactant,19.94,590.95,11.5,8.36,8.43,8.85,,,30.54,42.26,58.09,58.09,58.09,8.19,17.42,,,1.13,,,,0.76,3,2.7,1.01,8,3.78,2.11,0,0,49.92,48.95,0,5.01,0.78,0.45,3.18,N,Y,Y,Y,1,0,0,0,0,1
Aarvee Denims,84.21,101.56,-116.87,-71.18,-55.69,-35.94,-20.14,-11.89,,,,25.65,22.21,-31.62,-35.37,-28,-18.86,9.48,,,,,2,5.9,1.16,5,-54.21,-25.61,0,0,60.81,38.81,55.18,0.86,0.37,16.14,0.42,N,N,Y,N,0,0,0,0,1,1
Aarvi Encon,1.55,204.71,10.09,15.05,12.79,12.34,12.59,13.05,19.24,13.61,12.16,10.5,10.43,26.26,14.54,14.95,15.21,2.73,6.72,-35.9,-25.75,2.86,2,1.71,0.49,4,2.79,3.5,1.44,26.07,73.54,26.42,0,5.71,2.25,0.21,7.15,Y,Y,N,N,0,0,0,0,1,1
Aashka Hospitals,116.86,261.85,2.49,-2.7,0.86,2.56,,,110.49,20.96,21.34,21.34,21.34,-17.47,-3.74,,,-23.74,6.04,,,9.4,1,2.72,11.45,8,10.36,-13.57,0,0,61.28,38.71,0,4.97,0.62,0.21,1.94,Y,Y,Y,Y,0,0,0,0,1,1
AAVAS Financiers,8.18,13247.9,13.93,14.14,13.93,13.57,13.22,13.38,26.13,30.51,43.07,47.21,47.21,22.29,23.23,30.98,43.55,18.9,22.44,30.1,40.15,1.15,5,3.51,6.33,2,24.31,26.73,0,0,26.47,12.49,0,2.17,7.67,3.29,1.74,N,Y,N,N,1,0,0,0,0,1
Aayush Art,612.07,390.82,1.78,3.56,0.38,-0.27,-0.29,-0.03,1503.15,129.07,129.07,127.91,121.74,43.9,-1.18,-5.78,41.99,60.09,44.54,-22.62,,16.36,3,17.09,53.32,4,3.55,1.97,0,0,6.69,92.99,0,27.2,43.74,0,,Y,N,N,Y,0,0,0,0,0,0
Aayush Wellness,2971.25,318.92,12.22,-8.95,-12.58,-3.07,1.13,1.71,817.74,456.83,23.28,18.48,20.11,-84.18,-65.98,-51.85,34.93,10.72,-1.02,8.12,,-801.71,2,64.92,27.3,5,95,-5.06,0,0,0,100.01,0,105.71,8,0,,Y,N,Y,Y,0,0,0,0,0,0
AB Cotspin,276.63,391.52,14.89,4.74,13.3,13.14,12.14,,58.44,14.52,14.52,14.52,14.52,30.4,16.16,13.12,,-25.45,4.99,12.61,,1.47,2,8.26,1.53,7,2.62,1.14,0,0,34.91,65.09,0,5.77,0.66,2.57,1.9,Y,Y,N,Y,1,0,0,0,0,1
Aban Offshore,21.99,375.23,,,,,,,,,,,3.86,-27.97,-13.97,-19.07,-20.45,10.33,11.84,-4.11,,,3,,0.89,3,-329.79,-298.47,0,0,46,52.18,19.37,-29.16,0.02,,-0.1,N,N,N,N,0,0,0,0,0,0
ABans Enterprise,0.45,204.36,5.08,8.78,9.41,,,,19.63,8.7,7.95,7.95,7.95,-24.15,,,,-34.37,,,,,4,1.1,0.12,5,0.54,0.95,0,0,74.56,13.18,0,6.11,0.98,0.84,2.46,Y,N,N,N,0,0,0,0,1,1
Abans Holdings,27.18,1904.93,9.3,8.9,9.21,8.83,,,22.49,21.99,21.99,21.99,21.99,1.21,-20.62,,,21.72,-78.48,,,1.23,3,2.04,1.35,5,6.47,6.05,0,0,72.09,16.88,14.2,2.55,1.9,1,2.95,Y,Y,N,Y,1,0,0,0,1,2
Abbott India,25.75,60581.84,34.88,31.61,32.2,30.47,29.38,28.47,48.9,49.25,50.38,48.79,46.59,10.71,9.72,10.53,9.9,20.24,22.01,23.33,20.21,2.22,4,16.38,10.22,8,20.54,17.75,1.44,72.53,74.99,15.86,0,22.32,1.96,0.02,141.34,N,Y,Y,Y,0,1,0,0,1,2
Abhinav Capital,30.17,106.5,13.47,18.11,14.65,11.77,11.83,12.02,20.84,11.08,12.09,12.4,13.85,67.56,31.02,19.48,47.67,93.4,28.82,16.34,68.56,0.72,5,1.35,9.28,5,60.56,73.72,0,0,71.64,28.36,0,3.81,3.26,0.49,2.49,Y,Y,N,N,1,0,0,0,1,2
ABM Knowledge,30.06,234.13,6.89,6.29,6.94,8.12,8.64,10.5,15.15,15.29,13.25,12.32,12.58,2.21,7.4,-2.67,-0.29,-8.76,-1.17,-2.94,0.27,-12.95,2,1.05,2.93,7,18.92,19.62,1.07,17.2,66.92,32.73,0,3.62,4.61,0,83.17,N,Y,N,N,1,0,0,0,1,2
ABS Marine,,520.83,23.02,9.9,12.22,,,,21.47,,,,,15.14,,,,,,,,,1,,3.85,7,19.36,8.46,0,0,63.42,26.07,0,6.97,1.73,0.39,6.67,N,N,Y,Y,0,0,0,0,0,0
ACC,19.16,42023.03,14.15,6.57,11.62,11.94,12.14,11.68,22.7,29.28,22.99,23.88,26.69,13.13,6.16,8.9,6.08,11.85,7.24,18.13,7.33,3.14,2,2.51,2.09,8,10.8,4.21,0.34,6.03,56.69,13.22,0,5.17,1.24,0.03,14.1,N,Y,N,Y,0,0,0,0,1,1
Accel,2.83,125.45,6.23,3.77,5.63,0.61,-1.55,,35.24,36.76,36.76,36.76,36.76,33.13,89.99,61.42,,40.83,24.37,11.84,,1.44,2,1.92,0.74,7,2.39,1.84,1.38,52.48,71.23,28.51,0,2.79,0.91,1.13,1.72,N,N,N,Y,1,0,0,0,1,2
Accelya Solution,8.72,2322.59,42.18,44.25,39.14,34.97,39.08,44.17,19.94,21.44,21.44,20.28,21,20.74,3.37,4.83,4.9,40.39,1.8,2.64,3.35,11.08,5,8.21,4.55,6,22.82,25.11,4.18,103.4,74.66,24.45,0,13.11,2.77,0.12,72.86,N,Y,Y,N,0,0,0,0,1,1
Accent Microcell,,544.7,28.94,29.64,27.76,,,,16.74,19.45,19.45,19.45,19.45,22.8,,,,9.7,,,,,3,3.06,2.06,7,12.63,6.2,0.39,6.97,55.09,43.23,0,8.07,4.81,0.01,85.24,N,N,Y,Y,0,0,0,0,0,0
Accuracy Shippi.,29.45,142.28,0.45,7.59,8.64,8.65,,,21.27,22.61,18.03,17.91,17.91,23.64,15.9,,,-61.63,-42.65,,,-0.5,3,1.23,0.19,5,0.07,0.9,0,0,63.69,36.31,0,5.07,1.47,0.94,1.63,N,Y,N,N,1,0,0,0,1,2
Ace Soft. Exp.,1714.38,278.69,3.48,0.81,0.32,-2.33,-1.47,0.07,47,30.79,30.79,13.99,11.88,38.91,24.28,15.93,17.57,43.61,23,-6.53,0.42,1.84,4,9.26,10.27,4,3.96,1.55,0,0,63.24,36.75,0,14,2.82,0.06,36.75,Y,Y,Y,Y,0,0,1,0,1,2
Achyut Healthcar,30.51,119.46,2.52,1.95,2.15,2.17,,,181,191.84,191.84,191.84,191.84,183.31,55.75,,,10.66,27.39,,,1.44,3,3.84,17.62,6,9.28,8.52,0,0,46.11,47.76,0,8.22,19.23,0,,N,Y,N,Y,0,0,0,0,0,0
Action Const.Eq.,62.91,14562.68,30.58,18.78,23.16,20.67,19.46,16.57,42.24,31.53,27.9,27.53,42.63,33.41,16.76,21.37,16.81,60.44,42.16,57.42,56.79,0.99,6,11.84,4.86,8,11.28,7.33,0.16,7.26,65.41,22.43,0,13.65,0.38,0,17.67,Y,Y,Y,Y,0,1,1,0,1,3
Active Clothing,73.15,189.9,7.28,3.57,3.98,2.72,3.36,,35.63,39.76,37.93,33.41,33.41,42.66,6.57,8.5,,332.67,9.69,-37.69,,3.68,2,2.74,0.89,7,2.29,1.13,0,0,73.58,26.39,0,3.55,0.74,1.34,1.78,N,Y,N,Y,0,0,0,0,1,1
Adani Energy Sol,20.26,110439.92,8.59,11.6,10.82,11.01,11.7,11.95,74.42,108.02,100.07,71.29,49.05,18.71,17.85,28.47,,-5.5,13.05,13.86,,5.56,4,5.26,5.3,7,6.63,9.63,0,0,69.94,6.03,0.49,3.68,1.66,1.86,1.67,N,Y,N,N,0,0,0,0,1,1
Adani Enterp.,19.09,310872.81,9.73,9.63,8.33,7.64,7.04,6.98,74.81,111.98,104.34,85.41,23.94,34.6,19.02,14.87,5.78,46.52,41.75,20.61,4.65,1.75,5,7.86,3.04,6,3.75,2.09,0.05,4.57,74.72,7.36,0,4.3,0.58,1.67,2.48,N,Y,N,Y,0,0,0,0,1,1
Adani Green,88.77,260414.94,17.07,22.83,19.16,16.28,11.41,,202,227.11,551.1,551.1,551.1,43.44,34.98,51.57,,67.19,35.89,40.05,,5.6,3,24.62,24.27,7,15.69,14.53,0,0,60.94,22.45,0,4.81,0.49,6.38,1.37,N,Y,N,Y,0,0,0,0,1,1
Adani Ports,68.55,284857.52,18.06,14.43,15.82,16.07,16.56,17.64,28.56,29.18,27.48,24.21,23.04,28.63,19.58,17.89,18.65,18.61,16.01,11.88,17.71,1.68,2,5.4,10.17,8,33.19,30.63,0.45,15.98,65.89,5.62,0.03,5.26,0.99,0.94,5.53,N,Y,N,Y,0,0,0,0,1,1
Adani Power,67.25,228446.49,57.06,44.55,47.81,39.21,33.69,26.13,14.29,11.19,14.43,15.27,15.19,24.29,16.09,12.11,12.63,153.37,88.46,42.5,55.22,0.16,3,5.29,4.21,8,41.37,27.76,0,0.07,72.7,10.84,0.45,6.17,1.33,0.8,6.1,Y,Y,Y,Y,1,1,0,1,1,4
Adani Total Gas,29.25,79642.75,20.46,20.39,21.23,23.66,,,113.44,192.54,169.46,144.96,144.96,38.19,21.09,,,12.13,22.74,,,4.99,3,20.37,16.99,8,14.91,12.47,0.03,4.12,74.8,5.99,0,20.58,0.6,0.37,9.59,N,Y,N,Y,0,1,0,0,1,2
Adani Wilmar,-2.16,42142.08,3.65,7.93,8.15,10.63,11.95,,40.02,102.04,102.04,102.04,102.04,9.91,11.32,11.51,12.79,-65.86,-40.96,-26.51,19.27,-10.03,5,4.72,0.8,5,0.6,1.1,0,0,87.87,11.11,0,6.99,0.57,0.22,3.24,N,Y,Y,N,1,0,0,0,1,2
ADC India,115.86,709.85,33.69,15.99,23.47,18.64,16.52,15.13,25.6,29.75,27.31,24.79,25.24,44,15.86,17.01,13.93,79.12,28.7,27.01,19.97,0.89,5,10.02,3.88,8,11.58,5.72,0.32,66.7,72.02,27.98,65,15.6,2.3,0,931,N,Y,N,Y,0,1,0,0,1,2
Addictive Learn,,612.21,18.76,340.69,,,,,93.75,31.13,31.13,31.13,31.13,111.26,,,,34.08,,,,,5,9.05,9.58,6,10.21,7.37,0,0,66.07,30.4,0,15.7,5.15,0,3.31,Y,N,Y,Y,0,0,1,0,0,1
ADF Foods,16.25,2975.11,16.27,14.23,15.56,17.37,16.52,14.42,40.51,33.24,32.56,31.83,31.28,12.05,17.59,14.57,9.62,8.78,19.94,24.45,32.35,1.83,2,6.74,5.62,7,13.45,11.9,0.44,17.81,36.16,45.48,5.98,11.85,4.2,0.13,40.9,Y,Y,N,Y,1,0,0,0,0,1
Adit.Birla Money,75.71,943.25,38.99,37.01,39.16,39.68,40.2,36.14,12.63,13.15,15.36,16.75,18.95,27.04,18.13,17.88,19.03,49.61,39.57,35.83,24.55,0.32,5,4.58,2.06,5,13.43,12.74,0,0,73.53,26.46,0,1.47,1.72,7.44,1.88,N,Y,N,Y,1,0,0,0,1,2
Aditya AMC,67.74,21202.78,27.45,25.3,28.66,30.92,31.82,,25.5,19.17,19.07,19.07,19.07,10.82,3.05,7.08,,-54.75,-35.79,-19.53,,2.16,7,6.69,14.84,5,47.71,44.2,1.84,49.84,74.95,8.13,0,12.4,1.39,0.02,172.03,Y,Y,N,Y,0,1,0,1,1,3
Aditya Bir. Fas.,39.03,32166.97,-20.24,-2.2,-10.04,-14.34,,,,96.71,84.95,84.95,84.95,38.67,11.51,,,4.34,,,,,3,7.56,2.26,2,-5.85,-0.82,0,0,49.25,15.89,0,3.4,0.38,2.34,0.03,N,N,N,N,0,0,0,0,1,1
Aditya Birla Cap,17.8,52863.13,14.15,26.79,17.46,14.66,13.7,,15.34,17.4,18.19,20.35,20.54,21.48,17.88,28.77,,40.98,28.33,16.89,,0.47,5,1.97,1.46,3,9.96,15.99,0,0,68.9,12.23,0,0.42,0.08,4.11,1.58,N,Y,N,N,1,0,0,1,1,3
Aditya Ultra,,129.52,16.95,7.28,12.86,,,,17.34,13.37,13.37,13.37,13.37,19.23,,,,4.98,,,,,3,,0.22,7,1.27,0.52,0,0,68.76,19.03,0,6.81,0.64,1.12,2.57,Y,N,N,Y,0,0,0,0,0,0
Aditya Vision,65.64,5727.44,25.31,59.61,36.89,37.96,36.7,35.54,61.76,30.56,28.84,30.22,30.16,32.58,25.33,25.19,30.2,53.51,72.02,75.23,-12.85,0.9,6,11.73,2.88,3,4.52,4.85,0.2,23.45,53.23,25.17,0,14.85,0.73,0.65,4.54,Y,Y,N,N,0,0,0,0,1,1
Ador Welding,5.26,1680.76,18.34,19.75,17.79,14.38,12.85,11.84,25.05,27.27,27.1,26.17,24.33,25.49,11.53,10.43,9.15,60.28,21.34,19.44,22.33,1.17,6,4.64,1.82,4,7.11,7.7,1.5,39.82,53.18,37.36,0,8.97,1.21,0.12,21.06,N,Y,N,N,1,0,0,0,1,2
Advait Infratech,349.15,1845.61,36.57,20.84,26.74,22.88,,,71.59,52.11,49.13,49.13,49.13,47.03,49.42,,,69.74,47.98,,,1.25,4,23.73,7.65,6,10.44,8.1,0.09,6.99,69.44,30.56,0,17.72,1.1,0.81,6.24,Y,Y,N,Y,0,0,1,0,1,2
Advanced Enzyme,41.81,4883.59,11.24,9.23,10.65,12.55,13.5,15.07,32.95,29.88,28.73,27.85,28.94,7.53,8.26,9.57,10.08,-0.4,5.24,6.64,21.39,6.25,2,3.69,7.74,7,23.68,19.83,1.17,42.79,42.95,36.4,0,7.49,2.43,0.04,67.74,Y,Y,N,Y,0,0,0,0,1,1
Advani Hotels.,30.12,588.56,36.86,50.58,35.14,25.12,24.03,22.51,24.56,22.07,22.24,25.34,29.53,56.56,8.45,8.48,10.24,99.68,16.88,15.71,26.2,1.45,6,8.19,5.65,6,23.53,28.86,2.83,133.34,50.25,49.44,0,12.71,1.59,0.03,267.67,Y,Y,N,N,1,0,0,0,0,1
Advik Capital,4.8,146.04,7.43,26.96,12.36,10.63,9.43,8.3,78.52,22.54,22.54,23.6,23.6,413.55,184.61,97.87,78.58,398.3,121.26,90.27,62.24,0.65,4,1.28,0.17,4,0.75,1.55,0,0,21.8,78.2,0,5.39,0.36,1.01,1.55,Y,Y,N,N,1,0,0,0,0,1
Aegis Logistics,149.4,26235.5,15.13,15.91,15.92,14.21,14.83,15.39,44.93,26.75,32.17,33.77,33.68,22.39,4.64,8.7,3.43,35.99,19.28,23.91,24.2,2.19,4,6.37,3.71,5,9.42,5.81,0.87,32.37,58.1,17.29,0,6.24,3.56,1.06,8.48,Y,Y,N,Y,0,0,1,0,1,2
Aelea,,340.26,30.82,5.98,25.67,,,,27.78,23.23,23.23,23.23,23.23,-33.1,,,,-92.83,,,,,0,,2.39,5,8.6,1.75,0,0,63.66,22.51,0,8.21,0.91,0.89,4.24,Y,N,N,Y,0,0,0,0,0,0
Aeroflex,18.33,2329.71,20.5,32.38,26.95,24.25,,,53.95,50.45,50.45,50.45,50.45,29.98,17.02,,,0.66,0.84,,,1.27,3,7.94,7.21,5,13.14,12.05,0.14,7.74,66.99,27.27,0,13.07,2.73,0,47.4,Y,N,Y,Y,1,0,0,0,1,2
Aeron Composites,,208.84,33.21,32.23,31.2,,,,20.66,2.22,2.22,2.22,2.22,36.33,,,,48.73,,,,,3,,1.05,7,5.06,3.68,0,0,73.63,17.98,0,6.59,0.89,0.33,12.16,Y,N,N,Y,0,0,0,0,0,0
Aerpace Indus,1690.66,773.67,-17.09,,,,,,,,,,,,,,,,,,,,3,55.69,,2,,,0,0,46.53,53.46,0,66.42,3.37,0.08,-12.69,N,Y,N,N,0,0,0,0,0,0
Aesthetik,,134.32,40.05,11.99,18.34,,,,26.81,21.08,21.08,21.08,21.08,64.74,,,,11.64,,,,,4,,2.21,6,8.25,2.83,0,0,69.54,23.93,0,10.97,1,0.57,9.81,Y,N,N,Y,0,0,1,0,0,1
Aether Industri.,-9.15,10460.78,5.93,15.91,12.23,15.24,16.09,15.72,103.02,92.05,92.05,92.05,92.05,9.81,24.25,57.82,,-52.76,-22.92,34.17,18.73,3.09,3,4.89,16.17,1,16.51,19.93,0,0,81.79,3.4,0,8.86,2.97,0.07,14.56,Y,Y,Y,N,0,0,0,0,1,1
Afcom,,1196.65,28.46,27.81,29.93,,,,47.62,38.74,38.74,38.74,38.74,119.83,,,,39.36,,,,,2,,8.11,3,17.03,15.76,0,0,42.73,52.87,0,17.8,3.05,0.18,18.19,Y,N,N,Y,0,0,0,0,0,0
Afcons Infrastr.,,17026.18,14.49,17.08,16.05,,,,37.17,,,,,12.27,,,,38.74,,,,,3,,1.28,5,3.45,3.37,,18.94,,,,3.19,0.98,0.94,2.19,N,N,N,Y,0,0,0,0,0,0
Affle India,40.38,20551.31,15,18.51,18.56,21.17,,,64.69,62.16,66.45,65.82,65.82,52.78,49.18,,,26.1,39.44,,,1.49,4,8.22,10.51,3,16.13,17.12,0,0,55.09,13.7,0,12.63,3.07,0.07,19.91,Y,Y,N,N,0,0,0,0,1,1
Affordable Robo.,8.79,794.89,7.67,8.87,7.31,4.58,7.57,9.06,130.95,75.76,70.56,62.69,62.69,38.85,12.76,19.08,20.03,56.56,1.08,-21.63,-14.87,112.89,2,7.53,5.3,4,4.04,4.01,0,0,55.65,44.35,0,7.83,0.98,0.44,3.3,Y,Y,N,Y,0,0,0,0,0,0
Agarwal Indl.,14.51,1510.74,23.59,26.21,25.04,23.92,21.85,20.8,12.52,11.96,9.63,10.6,12.03,32.97,31.94,32.46,27.9,22.51,40.64,35.02,22.8,0.24,6,2.96,0.69,5,5.08,4.51,0.3,4.11,57.2,36.91,0,5.51,0.85,0.71,6.7,Y,Y,N,Y,1,0,1,0,1,3
AGI Greenpac,-5.72,5477.93,14.51,17.45,15.51,11.9,9.4,8.97,21.82,16.85,16.18,12.69,9.74,24.32,8.57,2.25,3.55,41.51,86.98,14.9,16.26,0.26,4,3.02,2.26,7,10.25,11.47,0.71,15.45,60.24,31.24,0,4.7,1.01,0.34,4.79,Y,Y,Y,N,1,0,0,1,1,3
