Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Sapphire Foods,25.39,10357.52,4.04,20.74,10.49,4.08,,,293.58,60.5,60.5,60.5,60.5,36.52,16.79,,,34.73,22.87,,,11.27,3,7.7,3.9,4,2.02,10.36,0,0,26.2,5.23,0,7.64,0.6,0.87,1.46,Y,Y,N,N,0,0,0,0,0,0
Lemon Tree Hotel,2.5,9078.35,16.31,13.58,6.68,1.09,1.88,,62.68,78.68,81.68,100.67,100.67,62.05,14.28,14.62,,46.87,22.99,62.81,,2.73,3,9.39,8.17,7,16.96,16.04,0,0,22.77,36.51,0,4.57,0.51,2.42,2.02,N,N,N,Y,0,0,0,0,0,0
Mahindra Holiday,-10.28,7362.97,24.03,35.92,30.84,11.92,14.09,15.52,66.78,74.54,71.16,51.21,42.85,16.06,3.85,2.56,14.87,96.77,13.07,-4.13,2.79,5.04,2,12.54,2.67,6,4.08,4.56,0,0,66.76,17.49,0,1.81,1.17,5.02,2.12,N,Y,N,N,0,0,0,0,1,1
Juniper Hotels,,7338.13,1.56,-8.36,-8.41,,,,158.46,289.6,289.6,289.6,289.6,70.03,,,,,,,,,5,2.76,8.64,6,2.88,-4.45,0,0,77.53,2.89,0,4.06,0.64,0.47,0.98,N,N,Y,Y,0,0,0,0,1,1
Apollo Hospitals,43.78,99856.29,13.33,13.71,14.4,11.78,10.15,9.43,96.38,89.77,90.62,99.77,84.63,21.75,14.66,14.79,15.9,108.56,33.38,30.32,10.66,2.81,6,14.4,5.06,6,4.78,5.03,0.23,25.6,29.33,5.12,13.99,11.77,0.89,0.77,4.35,Y,Y,N,N,0,0,0,0,1,1
Max Healthcare,66.37,91185.99,13.37,16.1,13.39,12.04,10.96,,86.53,62.17,68.01,68.01,68.01,29.18,26.17,18.91,,95.13,681.89,69.02,,0.11,4,10.84,16.1,4,19.56,24.16,0.16,13.78,23.74,3.84,0,14.07,1.3,0.15,22.48,Y,Y,N,N,0,0,0,0,1,1
Fortis Health.,79.3,43998.96,7.85,7.77,7.3,4.47,2.77,2.66,68.53,53.81,54.12,53.71,56.53,19.59,9.05,6.03,7.04,136.28,42.77,-0.77,13.73,1.6,5,5.74,6.2,7,9.14,8.9,0.17,12.61,31.17,12.83,0,6.92,0.41,0.15,7.7,Y,Y,Y,Y,1,0,1,0,0,2
Global Health,40.06,28470.05,17.93,16.15,16.17,12.01,,,59.03,61.61,61.61,61.61,61.61,31.3,17.6,,,45.06,11.23,,,1.05,3,9.8,8.5,7,14.6,12.12,0,0,33.04,43.64,0,13.14,2.33,0.28,9.51,N,Y,Y,Y,0,0,0,0,0,0
Dr Lal Pathlabs,32.79,26222.68,20.36,15.04,19.97,21.32,21.76,22.97,65.33,70.27,71.8,62.77,57.35,12.09,13.1,13.59,14.84,6.99,12.4,12.64,-11.73,5.25,4,13.1,11.18,8,16.28,11.93,0.76,42,53.92,6.02,0,19.34,2.77,0.1,23.22,N,Y,N,Y,0,1,0,0,1,2
Poly Medicure,82.79,25465.46,19.08,14.79,16.11,17.24,17.63,18.25,94.45,60.47,58.4,48.44,44,20.53,17.64,17.14,15.63,24.11,29.73,23.51,20.06,2.96,5,16.41,17.69,6,18.81,15.45,0.12,11.15,62.56,13.23,0,24.8,1.37,0.12,31.05,Y,Y,N,Y,0,0,1,0,1,2
Narayana Hrudaya,21.47,25273.3,31.43,33.06,30.87,23.63,19.84,16.71,31.33,34.15,37.15,42.35,56.41,24.78,11.89,15.07,16.44,365.13,67.79,37.6,-20.79,0.46,3,8.76,4.93,5,15.71,13.23,0.32,10.36,63.85,17.94,0,9.47,0.9,0.56,9.31,N,Y,N,Y,1,0,0,0,1,2
Aster DM Health.,35.12,22415.65,3.13,11.1,9.44,9.23,9.88,8.56,81.37,28.53,32.76,29.74,29.74,-24.54,-14.22,-6.52,2.57,-4.33,-23.31,12.9,-5.77,-3.47,3,6.52,5.58,7,5.71,15.87,0.45,77.28,41.88,13.05,98.87,7.17,1.82,0.56,4.69,Y,Y,Y,N,0,0,0,0,1,1
Krishna Institu.,38.45,20917.26,17.63,21.26,21.98,22.55,19.94,,66.2,44.45,45.12,45.12,45.12,23.38,22.17,23.59,,13.97,51.54,35.74,,1.24,5,11.44,8.11,4,13.37,16.08,0,0,38.82,13.03,15.35,10.6,0.92,0.74,9.41,Y,Y,N,N,0,0,0,0,0,0
Rainbow Child.,25.68,14427.95,18.23,25.5,22.4,19.88,18.46,17.28,66.94,51.67,51.67,51.67,51.67,25.89,19.03,22.06,26.66,32.32,15.48,-6.68,13.77,1.83,5,11.45,10.77,4,16.4,18.07,0.21,14.03,49.85,11.2,0,12.71,1.94,0.61,5.67,Y,Y,N,N,0,0,0,0,1,1
Metropolis Healt,52.1,10789.18,12.2,15.24,17.03,20.7,21.96,22.21,78.77,52.4,58.5,55.55,55.55,6.56,9.67,12.05,12.02,-11.45,1.08,-17.77,-7.7,52.51,5,9.84,8.67,5,10.58,12.49,0.19,16.04,49.43,3.98,1.18,13.47,0.91,0.18,9.8,Y,Y,N,N,0,0,0,0,1,1
Vijaya Diagnost.,60.47,9290.39,17.83,16.57,19.73,21.28,,,74.04,50.92,50.16,50.16,50.16,13.29,13.36,,,-17.42,-36.23,,,3.91,5,14.1,15.94,6,19.7,18.4,0.11,8.61,53.91,4.49,0,17.36,1.33,0.39,7.86,Y,Y,N,Y,0,0,0,0,1,1
Jupiter Life Lin,31.11,8851.09,17.77,27.4,22.38,19.45,,,54.9,55.96,55.96,55.96,55.96,25.46,17.97,,,92.25,45.4,,,1.04,6,7.11,9.39,6,16.69,13.79,0.07,4.32,40.91,36.79,0,13.18,3.96,0,20.02,N,N,Y,Y,1,0,0,0,1,2
Health.Global,19.36,5967.84,4.78,2.1,2.11,-4.91,-4.13,-2.85,132.72,215.43,215.43,212.53,213.7,23.65,14.34,15.4,15.51,32.38,24.81,2.57,10.16,4.51,4,7.22,3.02,4,2.11,1.07,0,0,71.23,12.84,3.09,5,0.86,1.54,1.62,N,Y,N,Y,0,0,0,0,1,1
Kovai Medical,94.8,5633.99,22.39,17.67,19.84,19.92,20.01,21.08,28.98,20.73,17.51,17.15,18.52,20.89,14.18,12.61,13.82,32.38,24.52,17.02,22.46,1.18,6,6.34,4.47,8,14.76,11.51,0.19,6.09,56.51,38.67,0,8.72,1.15,0.35,9.81,Y,Y,Y,Y,1,1,1,1,1,5
Yatharth Hospit.,78.25,5577.26,21.66,43.87,29.02,27.06,25.18,,44.33,36.83,36.83,36.83,36.83,43.39,47.36,36.74,,6.35,40.57,29.26,,0.46,5,6.38,7.67,5,18.04,13.77,0,0,66.54,20.2,0,11.77,7.47,0.1,27.59,Y,N,Y,Y,1,0,1,0,1,3
Asahi India Glas,20.17,16401.96,14.74,18.6,17.8,15.47,15.75,16.4,54.87,38.82,39.43,39.25,42.55,21.48,8.3,9.19,6.95,37.52,11.59,12.07,24.54,4.73,4,6.97,3.73,4,7.52,8.88,0.3,14.82,54.23,40.2,3.94,6.64,0.44,0.84,4.06,Y,Y,N,N,0,0,0,0,0,0
Borosil Renew.,1.16,5372.61,-8.59,,,,,,,113.55,81.86,32.57,11.88,,12.41,13.69,24.26,,,,,,4,6.15,3.88,4,-6.04,7.76,0,0,61.6,34,0,6.83,1.09,0.66,-2.42,N,Y,N,N,0,0,0,0,1,1
Nestle India,-6.03,217967.01,135.33,108.31,121.38,106.76,82.58,68.17,68.63,80.25,79.63,77.11,72.63,22.25,16.65,15.05,10.36,23.52,19.55,21.43,13.48,3.51,4,54.62,11.02,8,16.09,14.12,0.69,78.94,62.76,15.86,0,34.89,0.26,0.09,38.72,N,Y,N,Y,0,0,0,0,1,1
Britannia Inds.,25.59,136557.87,57.14,66.62,57.76,49.27,44.35,44.43,61.96,56.65,55.41,57.83,54.93,8.48,8.69,9.2,9.27,4.89,13.04,13.36,18.65,4.73,3,34.65,8.03,7,12.74,12.45,1.3,82.75,50.55,15.18,0,27.74,0.48,0.52,22.44,Y,N,Y,Y,0,1,0,0,1,2
Varun Beverages,65.83,198559.16,35.2,33.54,30.29,25.44,23.76,23.04,78.13,62.18,62.97,58.93,59.18,35.49,25.73,22.56,22.46,76.79,45.75,71.1,43.84,1.65,6,23.15,10.46,7,13.5,12.1,0.16,15.8,62.66,8.18,0.04,18.79,0.47,0.79,9.11,Y,Y,N,Y,0,1,1,0,1,3
Hatsun Agro,-7.81,23636.93,17.02,12.65,16.44,17.5,18.17,19.55,74.41,102.5,95.14,98.81,92.98,12.91,10.91,9.63,12.35,1.31,16.45,9.66,12.6,4.52,3,15.03,2.88,6,3.21,2.23,0.57,50.01,73.17,13.38,0,10.89,0.08,1.72,3.55,N,Y,N,Y,0,0,0,0,1,1
Bikaji Foods,85.27,21686.85,24.73,15.53,18.11,16.85,16.65,17,72.82,75.55,75.55,75.55,75.55,20.59,20.56,20.85,19.09,-33.63,-12.47,-7.61,-1.28,1.84,5,16.22,8.7,6,11.77,7.11,0.12,9.28,74.98,4.76,0,23.69,1.82,0.13,46.84,N,Y,N,Y,0,0,0,0,1,1
Godrej Agrovet,58.66,14165.82,14.9,10.47,14.8,15.52,15.88,17.27,37.71,29.25,29.93,32.08,32.03,15.12,10.07,9.98,11.91,4.82,7.6,6.89,-16.72,4.95,3,5.63,1.51,7,3.78,2.57,1.36,53.44,74.03,12.61,0,6.87,0.41,0.56,5.57,Y,Y,N,Y,0,0,0,0,1,1
L T Foods,115.18,12183.37,19.32,16.78,17.53,16.86,16.03,16.33,20.25,11.21,9.11,9.28,8.68,17.91,14.84,13.29,12.2,25.86,33.6,21.34,18.88,0.57,4,3.33,1.49,8,7.67,6.04,0.43,2.93,51,35.19,0,6.77,0.7,0.33,11.17,Y,Y,Y,Y,1,0,1,0,1,3
Zydus Wellness,15.97,11448.38,5.32,6.4,6.08,5.98,6.52,7.41,37.63,33.23,36.79,36.07,34.25,7.64,22.53,27.26,19.15,3.61,9.22,6.79,5.92,3.3,3,2.14,4.64,5,11.99,14.15,0.28,11.91,69.62,6.68,0,4.92,0.87,0.06,15.15,Y,Y,Y,N,0,0,0,0,1,1
Mrs Bectors,54.93,10419.57,23.22,17.74,18.38,17.36,,,73.93,45.95,46.11,46.11,46.11,22.62,15.69,,,24.64,32.75,,,2.21,5,15.06,6.17,6,8.63,6.6,0.19,13.61,49.03,16.91,0,18.4,1.25,0.37,14.32,Y,Y,N,Y,0,0,1,0,1,2
Dodla Dairy,79.01,7595.87,15.48,13.22,15.28,16.05,,,35.08,28.98,29.14,29.14,29.14,17.15,13.06,,,8.19,20.08,,,1.62,5,5.89,2.21,6,5.23,4.27,0.24,0,59.69,10.78,0,11.55,2.25,0.04,89.63,Y,Y,Y,Y,1,0,1,0,1,3
Avanti Feeds,35.14,7500.32,15.09,13.44,13.53,16.57,20.05,22.25,19.79,21.39,20.57,19.94,19.79,9.4,9.01,10.82,17.25,1.44,5.3,6.63,16.92,3.73,4,3.17,1.41,7,6.91,5.91,1.23,23.84,43.23,33.85,0,7.82,2.6,0.01,355.04,N,Y,N,Y,0,0,0,0,1,1
KRBL,-28.01,6123.95,12.48,16.01,13.47,14.83,15.88,17.06,12.55,12.34,11.64,12.32,12.96,10.49,5.5,7.98,6.45,3.12,4.14,6.31,9.34,3.53,3,1.26,1.18,3,11.07,13.07,1.5,15.37,60.17,28.92,0,4.95,0.43,0.11,24.82,Y,Y,N,N,0,0,0,0,1,1
Gopal Snacks,,5600.97,29.23,47.94,34.63,,,,57.63,42.68,42.68,42.68,42.68,7.52,,,,-64.93,,,,,5,12.62,3.78,6,7.1,8.06,0.22,3.13,81.49,10.6,0,22.73,1.85,0.01,36.06,Y,N,Y,N,0,0,0,0,1,1
Manorama Indust.,113.12,5372.56,12.63,10.49,11.65,12.42,14.1,13.98,89.26,64,59.98,54.1,54.1,31.15,34.88,17.77,15.91,36.91,13.89,26.79,19.94,5.77,5,14.19,9.65,2,8.78,8.47,0.04,5.94,57.26,38.58,0,13.61,0.66,0.98,3.72,Y,Y,N,Y,0,0,1,0,1,2
Life Insurance,48.96,571558.42,63.45,125.05,79.15,80.87,,,13.68,15.43,15.43,15.43,15.43,6.98,8.16,,,,,,,0.19,4,6.91,0.66,6,4.84,4.59,1.11,15.46,96.5,2.17,0,0.41,3.09,0,,N,Y,Y,Y,1,1,0,0,1,3
Bajaj Finance,-7.95,427735.74,22.12,23.48,21.34,19.83,20.01,,27.82,36.33,41.46,47.77,45.36,27.26,24.35,27.62,,47.08,27.59,32.03,,0.95,4,4.93,6.87,4,26.31,27.81,0.52,15.4,54.7,9.36,0,2.43,2.39,3.74,1.94,N,Y,N,N,1,0,0,1,1,3
Bajaj Finserv,9,272614.09,15.28,14.81,14.19,13.77,13.9,14.12,32.07,36.71,38.09,36.32,33.97,22.13,20.97,23.99,33.76,22.04,20.36,20.06,18.07,1.57,4,3.99,2.16,5,14.14,14.88,0.06,1.96,60.65,22.84,0.01,1.1,0.25,4.66,2.06,N,Y,N,N,1,0,0,1,1,3
Jio Financial,39.61,197714.2,1.27,,,,,,123.1,134.25,134.25,134.25,134.25,,,,,,,,,,2,1.44,101.76,3,86.51,56.07,0,0,47.12,24.46,0,3.63,43.14,0,,N,N,N,Y,0,0,0,0,1,1
SBI Life Insuran,24.09,161986.06,11.96,13.19,12.87,13.94,14.79,15.59,74.25,77.03,74.84,69.91,69.97,17.24,24.23,23.25,22.56,4.62,5.91,8.29,8.64,12.5,3,9.96,1.08,7,1.26,2.02,0.17,14.28,55.39,4.1,0,1,1.82,0,,N,Y,N,N,0,0,0,0,1,1
HDFC Life Insur.,16.56,152689.33,11.38,9.57,10.6,12.78,14.48,16.22,90.17,89.24,91.22,90.76,90.76,12.37,21.17,18.66,19.45,2.81,4.57,7.41,7.25,15.23,2,9.79,1.38,7,1.55,1.95,0.28,27.33,50.34,10.75,0,1.13,1.03,0.06,,Y,Y,N,N,0,0,0,0,1,1
Shriram Finance,59.81,116286.44,15.93,17.27,15.34,14.87,15.45,14.92,14.83,11.73,11.52,11.85,14.34,27.83,18.56,18.79,15.69,30.33,14,21.55,13.85,0.63,5,2.22,3.02,3,20.33,19.75,1.46,22.96,25.4,5.07,0,1.48,2.28,3.97,1.65,Y,Y,N,Y,1,0,1,1,1,4
Cholaman.Inv.&Fn,17.48,115325.49,20.16,20.41,20.24,19.03,19.24,19.09,29.94,30.65,28.11,25.49,24.27,25.99,21.94,22.26,19.31,29.97,21.62,23.7,22.99,1.28,5,5.39,5.13,3,17.85,20.69,0.15,4.91,50.24,6.02,0,1.64,3.92,7.38,1.48,N,Y,N,N,1,1,0,1,1,4
Bajaj Holdings,50.94,113031.13,14.77,11.15,12.18,11.85,11.88,12.44,15.26,14.96,13.98,12.79,12.01,54.98,31.59,10.57,14.93,25.81,18.98,16.65,13.84,0.8,4,1.89,65.23,7,432.73,948.17,1.29,20.06,51.46,30.82,0,4.02,1.22,0,4139.8,Y,Y,Y,N,0,0,0,1,1,2
ICICI Pru Life,43.13,107303.7,8.07,8.45,8.27,9.99,12.14,16.25,122.5,93.07,83.18,68.8,61.79,2.54,16.68,13.13,15.15,-3.93,-2.05,-9.32,-5.97,-61.87,3,9.27,1.08,5,0.95,1.65,0.08,10.16,73.05,4.66,0,0.9,1.24,0.1,,Y,Y,N,N,0,0,0,0,1,1
ICICI Lombard,42.13,95446.07,16.96,17.64,16.67,18,17.97,18.18,42.89,42.34,45.45,45.52,45.67,18.92,12.91,15.39,16.76,6.35,11.01,13.98,12.76,3.34,5,7.01,4.28,7,9.37,9.69,0.31,28.25,51.66,6.91,0,2.33,0.29,0,,Y,Y,Y,N,0,0,0,0,1,1
HDFC AMC,57.77,92757.54,29.51,24.47,27.11,28.81,29.96,31.2,41.94,34.66,40.77,41.27,41.27,12.92,8.77,10.52,13.41,13.55,15.79,-11.75,-4.32,2.64,6,13.64,30.62,6,61.6,57.45,1.61,76.8,52.51,9.01,0,23.26,0.72,0,324.27,Y,Y,N,Y,0,1,1,1,1,4
Muthoot Finance,49.04,77223.59,17.86,17.63,19.39,21.88,22.14,21.36,18.59,13.88,13.99,13.09,12.68,6.17,12.93,11.91,9.83,2.82,15.43,19.18,17,1.2,4,3.17,5.79,3,32.05,33.03,1.25,23.79,73.35,3.5,0,2.26,2.21,2.7,2.14,Y,Y,N,N,1,0,0,1,1,3
SBI Cards,-12.52,65775.41,21.98,25.69,23.46,22.97,23.8,24.15,27.31,35.05,45.52,45.52,45.52,22.23,19.34,26.12,28.01,34.23,19.64,27.01,21.1,1.2,3,5.44,3.78,4,14.18,16.52,0.36,9.87,68.61,5.46,0,2.71,0.75,3.3,2.16,N,Y,N,N,1,0,0,1,1,3
General Insuranc,54.38,61184.7,13.31,17.01,12.78,9.99,9.59,7.92,8.61,8.4,9.61,13.78,13.81,-2.25,0.2,7.83,12.79,49.73,24.09,46.66,-14.3,0.36,7,1.06,1.3,6,14.73,14.81,2.87,26.24,82.4,2.56,0,0.98,0.48,0,,Y,Y,N,N,1,0,0,0,1,2
Sundaram Finance,51.57,53961.27,14.16,14.16,14.15,14.16,14.17,14.44,35.21,22.01,21.8,22.12,23.03,11.18,14.5,3.84,5.88,8.62,11.65,11.77,9.69,3.02,3,4.87,7.07,6,26.23,27.39,0.62,23.02,37.86,35.53,0,2.03,2.58,4.72,1.59,Y,Y,N,N,0,0,0,1,1,2
Aditya Birla Cap,17.8,52863.13,14.15,26.79,17.46,14.66,13.7,,15.34,17.4,18.19,20.35,20.54,21.48,17.88,28.77,,40.98,28.33,16.89,,0.47,5,1.97,1.46,3,9.96,15.99,0,0,68.9,12.23,0,0.42,0.08,4.11,1.58,N,Y,N,N,1,0,0,1,1,3
Motil.Oswal.Fin.,259.65,52195.68,32.59,15.62,25.28,24.42,23.18,22.37,18.67,9.79,11.69,15.07,22.92,24.93,23.61,20.44,31.23,21.82,52.03,29.96,41.33,0.35,4,5.95,6.61,5,34.61,22.38,0.4,8.55,68.86,18.39,0,3.95,1.64,1.58,4.1,Y,Y,N,Y,1,1,1,1,1,5
Max Financial,40.87,43996.96,9.21,10.16,8.79,9.7,10.5,10.84,127.76,88.49,76.24,63.45,61.29,14.2,19.01,17.3,14.9,-7.19,0.22,-5.63,6.44,24.06,2,8.51,0.84,6,0.84,1.44,0,0,6.52,6.42,72.64,0.7,0.99,0.1,11.31,Y,Y,N,N,0,0,0,1,0,1
Nippon Life Ind.,83.31,43157.65,29.54,20.68,24.44,22.99,22.46,22.61,32.7,27.11,32.42,28.59,28.59,12.79,4.33,5.12,10.15,16.78,17.22,-34.75,-22.86,1.83,7,10.61,21.93,6,54.4,47.85,2.42,93.88,72.49,6.31,0,18.2,1.87,0,253.97,Y,Y,N,Y,0,1,1,1,1,4
360 ONE,93.08,37001.96,24.47,21.41,21.97,17.25,,,37.53,27.1,30.46,30.46,30.46,20.86,13.1,,,28.54,,,,2.27,6,9.45,11.81,3,27.53,31.99,1.63,73.64,15.72,10.23,43.25,4.87,2.86,2.79,2.6,Y,Y,N,N,0,1,0,1,0,2
L&T Finance Ltd,2.39,34989.61,10.31,-0.75,4.81,5.81,7.73,8.55,13.6,19.71,19.4,19.39,19.22,0.57,0.32,6.87,10.03,47.44,0.51,9.72,12.47,17.89,6,1.44,2.33,6,17.07,-1.23,1.78,26.82,66.29,14.66,0,1.26,3.1,3.5,1.61,N,Y,Y,Y,0,0,0,1,1,2
Chola Financial,64.35,33605.59,19.81,18.3,18.64,17.52,17.73,17.79,17.24,12.55,12.97,13.92,13.66,22.94,18.78,38.16,11.36,29.05,20.53,21.43,19.08,0.84,6,3.28,1.21,5,14.91,15.48,0.03,0.58,47.33,12.93,0.01,0.76,0.47,13.09,1.57,Y,Y,N,N,1,0,0,1,1,3
M & M Fin. Serv.,-3.26,33144.64,10.02,11.9,9.68,8.76,10.14,10.41,15.21,17.11,17.01,17.95,19.89,8.84,8.89,12.07,11.67,42.48,1.08,19.45,6.4,14.08,7,1.65,1.93,3,12.14,16.45,2.35,40.24,52.16,6.01,0,1.01,1.31,5.43,1.38,N,Y,N,N,0,0,0,1,1,2
Tata Inv.Corpn.,109.63,33010.39,1.55,1.28,1.39,1.36,1.45,1.92,89.63,45.44,42.94,38.06,34.27,33.15,16.82,5.22,5.86,35.73,23.54,11.12,8.45,3.81,2,1.1,88.27,8,99.95,90.75,0.43,36.8,73.38,23.35,0,2.95,9.77,0,73.8,Y,Y,N,Y,0,0,0,1,1,2
